Date;Pays;Infections;Deces;Guerisons;TauxDeces;TauxGuerison;TauxInfection
2020-03-19;Cambodge;37;0;1;0.00;2.70;97.30
2020-03-19;Corée du Sud;8565;91;1540;1.06;17.98;80.96
2020-03-19;Koweït;148;0;18;0.00;12.16;87.84
2020-03-19;Kazakhstan;44;0;0;0.00;0.00;100.00
2020-03-19;Liban;157;4;4;2.55;2.55;94.90
2020-03-19;Sainte-Lucie;2;0;0;0.00;0.00;100.00
2020-03-19;Liechtenstein;28;0;0;0.00;0.00;100.00
2020-03-19;Sri Lanka;60;0;3;0.00;5.00;95.00
2020-03-19;Libéria;2;0;0;0.00;0.00;100.00
2020-03-19;Lituanie;36;0;1;0.00;2.78;97.22
2020-03-19;Luxembourg;335;4;0;1.19;0.00;98.81
2020-03-19;Lettonie;86;0;1;0.00;1.16;98.84
2020-03-19;Maroc;63;2;1;3.17;1.59;95.24
2020-03-19;Monaco;7;0;0;0.00;0.00;100.00
2020-03-19;Moldavie;49;1;1;2.04;2.04;95.92
2020-03-19;Saint Martin;4;0;0;0.00;0.00;100.00
2020-03-19;Macédoine;48;0;1;0.00;2.08;97.92
2020-03-19;Mongolie;6;0;0;0.00;0.00;100.00
2020-03-19;Macao;17;0;10;0.00;58.82;41.18
2020-03-19;Martinique;23;1;0;4.35;0.00;95.65
2020-03-19;Mauritanie;2;0;0;0.00;0.00;100.00
2020-03-19;Malte;53;0;2;0.00;3.77;96.23
2020-03-19;Maurice;3;0;0;0.00;0.00;100.00
2020-03-19;Maldives;13;0;0;0.00;0.00;100.00
2020-03-19;Mexique;118;1;4;0.85;3.39;95.76
2020-03-19;Malaisie;900;2;75;0.22;8.33;91.44
2020-03-19;Namibie;3;0;0;0.00;0.00;100.00
2020-03-19;Nigéria;8;0;1;0.00;12.50;87.50
2020-03-19;Nicaragua;1;0;0;0.00;0.00;100.00
2020-03-19;Pays-Bas;2465;77;2;3.12;0.08;96.80
2020-03-19;Norvège;1746;7;1;0.40;0.06;99.54
2020-03-19;Népal;1;0;1;0.00;100.00;0.00
2020-03-19;Nouvelle-Zélande;28;0;0;0.00;0.00;100.00
2020-03-19;Oman;48;0;12;0.00;25.00;75.00
2020-03-19;Panama;109;1;0;0.92;0.00;99.08
2020-03-19;Pérou;234;0;1;0.00;0.43;99.57
2020-03-19;Philippines;217;17;8;7.83;3.69;88.48
2020-03-19;Pakistan;454;2;13;0.44;2.86;96.70
2020-03-19;Pologne;355;5;1;1.41;0.28;98.31
2020-03-19;Porto Rico;0;0;0;0.00;0.00;0.00
2020-03-19;Portugal;785;3;3;0.38;0.38;99.24
2020-03-19;Paraguay;11;0;0;0.00;0.00;100.00
